title,url,snippet,__term,searchQuery
Principais resultados,https://www.poder360.com.br/poder-sportsmkt/plano-de-reforma-do-corinthians-da-direito-a-voto-a-socio-torcedor/,"Últimas notícias do Corinthians, jogos, resultados, escalação, fotos de treinos, futebol feminino, Neo Química Arena, Fiel Torcedor, basquete, futsal, ...Próximos jogos do Corinthians, resultados, vídeos, reforços, escalação e notícias do Corinthians ao vivo. Veja tudo sobre o meu Timão no ge.globo.Sport Club Corinthians Paulista, comumente referido como Corinthians, ou ainda pelo seu acrônimo SCCP, é um clube poliesportivo brasileiro da cidade de São ...O motivo da loucura do Bando! · O Timão trouxe de Salvador mais 3️⃣ pontos para a sequência do Brasileirão! 🏳️ · Photo by Corinthians on October 26, 2025.Sport Club Corinthians Paulista is a Brazilian professional sports club based in São Paulo, in the district of Tatuapé. Although it competes in multiple ...Notícias do Corinthians, próximos jogos e resultados do Corinthians.Corinthians TV · BASTIDORES | VITÓRIA 0 X 1 CORINTHIANS | BRASILEIRÃO 2025 | 30ª RODADA · Upcoming live streams · Videos · Shorts · Segunda-feira já começou com ...Visit ESPN for Corinthians live scores, video highlights, and latest news. Find standings and the full 2025 season schedule.Ao vivo, como assistir, próximos jogos, resultados, escalação, gols, mercado da bola, tabelas, estatísticas e últimas notícias do Corinthians.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
"Corinthians | Site Oficial | Últimas notícias, resultados e ...",https://www.corinthians.com.br/,"Últimas notícias do Corinthians, jogos, resultados, escalação, fotos de treinos, futebol feminino, Neo Química Arena, Fiel Torcedor, basquete, futsal, ...",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
"Corinthians | Últimas notícias, resultados e próximos jogos",https://ge.globo.com/futebol/times/corinthians/,"Próximos jogos do Corinthians, resultados, vídeos, reforços, escalação e notícias do Corinthians ao vivo. Veja tudo sobre o meu Timão no ge.globo.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Sport Club Corinthians Paulista,https://pt.wikipedia.org/wiki/Sport_Club_Corinthians_Paulista,"Sport Club Corinthians Paulista, comumente referido como Corinthians, ou ainda pelo seu acrônimo SCCP, é um clube poliesportivo brasileiro da cidade de São ...",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Corinthians (@corinthians) • Instagram photos and videos,https://www.instagram.com/corinthians/,"O motivo da loucura do Bando! · O Timão trouxe de Salvador mais 3️⃣ pontos para a sequência do Brasileirão! 🏳️ · Photo by Corinthians on October 26, 2025.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
SC Corinthians Paulista,https://en.wikipedia.org/wiki/SC_Corinthians_Paulista,"Sport Club Corinthians Paulista is a Brazilian professional sports club based in São Paulo, in the district of Tatuapé. Although it competes in multiple ...",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Corinthians é no Meu Timão,https://www.meutimao.com.br/,"Notícias do Corinthians, próximos jogos e resultados do Corinthians.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Corinthians TV,https://www.youtube.com/corinthians,Corinthians TV · BASTIDORES | VITÓRIA 0 X 1 CORINTHIANS | BRASILEIRÃO 2025 | 30ª RODADA · Upcoming live streams · Videos · Shorts · Segunda-feira já começou com ...,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
"Corinthians Scores, Stats and Highlights",https://www.espn.com/soccer/team/_/id/874/corinthians,"Visit ESPN for Corinthians live scores, video highlights, and latest news. Find standings and the full 2025 season schedule.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
"Corinthians | Notícias, Próximos Jogos, Resultados e Vídeos",https://www.uol.com.br/esporte/futebol/times/corinthians/,"Ao vivo, como assistir, próximos jogos, resultados, escalação, gols, mercado da bola, tabelas, estatísticas e últimas notícias do Corinthians.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Corinthians,https://x.com/Corinthians,"Newspaper front page layout with headline Vence o Corinthians above Vitória Corinthians score 0 1, · 10.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
"Corinthians Resultados, vídeos e estatísticas",https://www.espn.com.br/futebol/time/_/id/874/corinthians,"Acesse ESPN (BR) para resultados ao vivo, vídeos e notícias do Corinthians. Encontre a classificação e o cronograma completo da temporada de 2025.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
Sport Club Corinthians Paulista - Club profile,https://www.transfermarkt.com/sport-club-corinthians-paulista/startseite/verein/199,Sport Club Corinthians Paulista ... FIFA Club World Cup winner ... 2 ... Brazilian Champion ... 7 ... Brazilian cup winner ... 3 ... Winner Supercopa do Brasil ... 1 ... Copa ...,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
"Corinthians live score, schedule & player stats",https://www.sofascore.com/team/football/corinthians/1957,"Corinthians will play the next match against Vitória on Oct 25, 2025, 7:00:00 PM UTC in Brasileirão Betano. When the match starts, ...",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
Agenda de próximos jogos do Corinthians,https://ge.globo.com/futebol/times/corinthians/agenda-de-jogos-do-corinthians/,"Veja se o Corinthians joga hoje, confira a agenda com calendário atualizado, times adversários e histórico de confrontos completo. Acesse ge.globo.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
"Corinthians | Notícias, jogos e resultados",https://www.lance.com.br/corinthians,"No LANCE, você fica por dentro de tudo sobre Corinthians. Acompanhe as últimas notícias, resultados e próximos jogos. Clique e não perca nada!",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
"1 Corinthians 1 NIV - Paul, called to be an apostle of Christ",https://www.biblegateway.com/passage/?search=1%20Corinthians%201&version=NIV,"1 Paul, called to be an apostle of Christ Jesus by the will of God, and our brother Sosthenes,.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
SouTimão.com.br – Notícias do Sport Club Corinthians Paulista,https://soutimao.com.br/,"Aqui no soutimao.com.br, você encontra todas as noticias do Corinthians. Informações quentes sobre tudo que se passa no maior clube de São Paulo: jogos, ...",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
"que horas joga o Corinthians, notícias, estatísticas e fotos",https://www.terra.com.br/esportes/corinthians/,Corinthians é o terceiro time da Série A com mais jogos sem sofrer gols desde a chegada de Dorival · Dupla do Corinthians participa de nova vitória da ...,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR&start=10""}"
Principais resultados,https://www.meutimao.com.br/noticias-do-corinthians/519120/permanencia-e-torneios-continentais-veja-as-novas-probabilidades-do-corinthians-apos-a-30-rodada,"Meu Timão | Versão Desktop Desde 2009, o Meu Timão cobre o dia a dia do Corinthians. Este não é o site oficial do Sport Club Corinthians Paulista.Próximos jogos do Corinthians, resultados, vídeos, reforços, escalação e notícias do Corinthians ao vivo. Veja tudo sobre o meu Timão no ge.globo.Meu Timão · AO VIVO APRESENTAÇÃO DO ANTEPROJETO DA REFORMA DO ESTATUTO DO CORINTHIANS · Past live streams · Videos · Shorts · RENATO AUGUSTO SAYS HE WILL BE ...Últimas notícias do Corinthians, jogos, resultados, escalação, fotos de treinos, futebol feminino, Neo Química Arena, Fiel Torcedor, basquete, futsal, ...Meu Timão | Versão Desktop Desde 2009, o Meu Timão cobre o dia a dia do Corinthians. Este não é o site oficial do Sport Club Corinthians Paulista.Notícias atualizadas do Corinthians, cobertura diária do clube e matérias exclusivas. Contratações do Timão e muito mais.Vai dar certo, Renato! Assista a entrevista completa no canal do Meu Timão no YouTube no link nos stories. @vitorchicarolli, @_rfontan, @_matheusquintinoo & ...Ao vivo, como assistir, próximos jogos, resultados, escalação, gols, mercado da bola, tabelas, estatísticas e últimas notícias do Corinthians.",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
Corinthians é no Meu Timão,https://www.meutimao.com.br/,"Meu Timão | Versão Desktop Desde 2009, o Meu Timão cobre o dia a dia do Corinthians. Este não é o site oficial do Sport Club Corinthians Paulista.",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
"Corinthians | Últimas notícias, resultados e próximos jogos",https://ge.globo.com/futebol/times/corinthians/,"Próximos jogos do Corinthians, resultados, vídeos, reforços, escalação e notícias do Corinthians ao vivo. Veja tudo sobre o meu Timão no ge.globo.",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
Meu Timão,https://www.youtube.com/meutimao,Meu Timão · AO VIVO APRESENTAÇÃO DO ANTEPROJETO DA REFORMA DO ESTATUTO DO CORINTHIANS · Past live streams · Videos · Shorts · RENATO AUGUSTO SAYS HE WILL BE ...,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
"Corinthians | Site Oficial | Últimas notícias, resultados e ...",https://www.corinthians.com.br/,"Últimas notícias do Corinthians, jogos, resultados, escalação, fotos de treinos, futebol feminino, Neo Química Arena, Fiel Torcedor, basquete, futsal, ...",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
Fórum do Corinthians,https://www.meutimao.com.br/forum-do-corinthians/,"Meu Timão | Versão Desktop Desde 2009, o Meu Timão cobre o dia a dia do Corinthians. Este não é o site oficial do Sport Club Corinthians Paulista.",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
Corinthians | Tudo Timão - Notícias do Corinthians ...,https://www.tudotimao.com.br/,"Notícias atualizadas do Corinthians, cobertura diária do clube e matérias exclusivas. Contratações do Timão e muito mais.",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
CORINTHIANS DERROTA O VITÓRIA E SOBE NA TABELA ...,https://www.youtube.com/watch?v=RclmkEEbYqg,... Timão: https://www.meutimao.com.br/patrocine/ Faça o seu check ... timao.me/Kwai Threads: http://timao.me/Threads #Corinthians #Timao #MeuTimao.,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
Meu Timão (@meutimao) • Instagram photos and videos,https://www.instagram.com/meutimao/,"Vai dar certo, Renato! Assista a entrevista completa no canal do Meu Timão no YouTube no link nos stories. @vitorchicarolli, @_rfontan, @_matheusquintinoo & ...",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
"Corinthians | Notícias, Próximos Jogos, Resultados e Vídeos",https://www.uol.com.br/esporte/futebol/times/corinthians/,"Ao vivo, como assistir, próximos jogos, resultados, escalação, gols, mercado da bola, tabelas, estatísticas e últimas notícias do Corinthians.",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR""}"
Sou Timão,https://soutimao.com.br/,"Aqui no soutimao.com.br, você encontra todas as noticias do Corinthians. Informações quentes sobre tudo que se passa no maior clube de São Paulo: jogos, ...",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
Corinthians TV,https://www.youtube.com/corinthians,TIMÃO TRAINING: CORINTHIANS MAKES FINAL PREPARATIONS BEFORE LEAVING FOR SALVADOR · TIMÃO TRAINING: CORINTHIANS SQUAD CONTINUES TRAINING WEEK TO FACE VITÓRIA.,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
Corinthians,https://x.com/Corinthians,O Timão trouxe de Salvador mais 3️⃣ pontos para a sequência do Brasileirão! ... Timão vence o Vitória como visitante na 30ª rodada do Brasileirão 2025 Leia a ...,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
Corinthians (@corinthians) • Instagram photos and videos,https://www.instagram.com/corinthians/,14M followers · 229 following · 42306 posts · @corinthians: “O motivo da loucura do Bando! ”,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
Dia de reapresentação do Timão. ⚫️⚪️ Trabalho iniciou ...,https://www.instagram.com/reel/DQUbtXxkd2W/,"143 likes, 0 comments - corinthiansfutebolfeminino on October 27, 2025: ""Dia de reapresentação do Timão. ⚫️⚪️ Trabalho iniciou na academia.",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
Meu Timão | São Paulo SP,https://www.facebook.com/meutimao/?locale=pt_BR,Meu Timão · Veja os bastidores da vitória do Corinthians no Brasileirão · Corinthians sobe uma posição na tabela do Brasileirão após triunfo contra o Vitória.,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
"Timão – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/wiki/Tim%C3%A3o,"O termo timão (do latim temo, eixo de carroça ou arado) pode se referir a: Roda de leme - roda ou volante com que se manobra o leme de uma embarcação ...",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
Corinthians divulgará propostas do novo estatuto; Fiel ...,https://www.meutimao.com.br/videos-do-corinthians/123774/corinthians-divulgara-propostas-do-novo-estatuto-fiel-torcedor-podera-votar-nas-mudancas,,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
Meu Timão (@MeuTimao) / Posts ...,https://x.com/MeuTimao,"⚫️ O Meu Timão é feito por corinthianos, para corinthianos. Apoio: @KTO_Brasil - Jogue com responsabilidade (+18). Posts. Meu Timão profile. Meu ...",timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
PRIMEIRA SEQUÊNCIA DE VITÓRIA DO TIMÃO NO BR ...,https://www.youtube.com/watch?v=Z9QlECgcsoc,PRIMEIRA SEQUÊNCIA DE VITÓRIA DO TIMÃO NO BR! VITÓRIA 0X1 ... Meu Timão•923 watching · 31:07 · Go to channel. Do campo ao tribunal ...,timão,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 2, ""resultsPerPage"": 10, ""term"": ""timão"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=tim%C3%A3o&hl=pt-BR&start=10""}"
